Dates,People (%),Males (%),Females (%)
Dec-10,65.6,72.6,58.8
Jan-11,65.8,72.8,58.9
Feb-11,65.5,72.5,58.7
Mar-11,65.6,72.4,59
Apr-11,65.4,72.2,58.7
May-11,65.3,72,58.7
Jun-11,65.3,71.9,58.9
Jul-11,65.4,72,59
Aug-11,65.4,72.1,58.9
Sep-11,65.5,72.1,59.1
Oct-11,65.4,72.1,58.9
Nov-11,65.4,72,58.9
Dec-11,65.1,71.8,58.6
Jan-12,65.3,72.2,58.7
Feb-12,65.1,71.8,58.6
Mar-12,65.3,71.8,59.1
Apr-12,65.1,71.7,58.6
May-12,65.3,71.8,59.1
Jun-12,65.1,71.6,58.8
Jul-12,65.1,71.5,58.8
Aug-12,65,71.6,58.6
Sep-12,65.3,71.8,59
Oct-12,65.2,71.8,58.8
Nov-12,64.9,71.5,58.6
Dec-12,65,71.7,58.6
Jan-13,65.3,71.9,58.8
Feb-13,65.2,71.7,59
Mar-13,65.1,71.5,58.8
Apr-13,65.2,71.5,59
May-13,65,71.5,58.7
Jun-13,65.1,71.6,58.7
Jul-13,64.9,71.3,58.7
Aug-13,64.9,71.3,58.7
Sep-13,64.8,71.2,58.7
Oct-13,64.8,71.2,58.7
Nov-13,64.6,71,58.4
Dec-13,64.5,70.9,58.2
Jan-14,64.6,70.9,58.5
Feb-14,64.6,70.8,58.6
Mar-14,64.7,70.9,58.8
Apr-14,64.7,71,58.5
May-14,64.6,70.7,58.6
Jun-14,64.7,70.9,58.7
Jul-14,64.8,71,58.7
Aug-14,64.6,70.9,58.6
Sep-14,64.6,70.7,58.8
Oct-14,64.7,70.8,58.7
Nov-14,64.5,71.1,58.2
Dec-14,64.6,70.9,58.6
Jan-15,64.8,71.1,58.6
Feb-15,64.9,71.2,58.8
Mar-15,64.9,71.3,58.6
Apr-15,64.8,71.1,58.7
May-15,64.9,71,58.9
Jun-15,64.8,70.8,59
Jul-15,65.1,71,59.3
Aug-15,64.9,70.9,59.1
Sep-15,65,70.9,59.2
Oct-15,65.2,71.1,59.4
Nov-15,65.2,70.9,59.7
Dec-15,65.1,71,59.5
Jan-16,65.2,71.3,59.4
Feb-16,65,70.7,59.4
Mar-16,64.9,70.8,59.3
Apr-16,64.9,70.6,59.4
May-16,64.9,70.6,59.3
Jun-16,64.9,70.4,59.6
Jul-16,64.9,70.6,59.5
Aug-16,64.7,70.4,59.1
Sep-16,64.5,70.1,59.1
Oct-16,64.5,70.3,59
Nov-16,64.7,70.3,59.3
Dec-16,64.8,70.6,59.3
Jan-17,64.7,70.2,59.4
Feb-17,64.7,70.4,59.2
Mar-17,64.9,70.5,59.5
Apr-17,64.9,70.7,59.4
May-17,65,70.6,59.6
Jun-17,65.1,70.5,59.8
Jul-17,65.2,70.7,59.8
Aug-17,65.3,70.8,60
Sep-17,65.3,70.7,60.1
Oct-17,65.3,70.6,60.1
Nov-17,65.5,70.9,60.3
Dec-17,65.8,71.2,60.6
Jan-18,65.8,71.2,60.5
Feb-18,65.7,71,60.6
Mar-18,65.6,70.8,60.5
Apr-18,65.6,70.9,60.5
May-18,65.4,70.7,60.4
Jun-18,65.7,70.9,60.6
Jul-18,65.5,70.9,60.3
Aug-18,65.6,71,60.4
Sep-18,65.4,70.7,60.3
Oct-18,65.5,70.8,60.4
Nov-18,65.7,71,60.5
Dec-18,65.7,71,60.5
Jan-19,65.7,71,60.7
Feb-19,65.6,70.7,60.6
Mar-19,65.7,71,60.6
Apr-19,65.9,71,60.9
May-19,66,71.5,60.8
Jun-19,66,71.2,60.9
Jul-19,66,71.2,61
Aug-19,66.1,71.3,61.2
Sep-19,66.1,71.1,61.2
Oct-19,65.9,70.9,61.2
Nov-19,65.9,70.9,61.1
Dec-19,65.9,71,61.1
Jan-20,66.1,70.8,61.5
Feb-20,65.9,70.8,61.2
Mar-20,65.9,70.8,61.2
Apr-20,63.5,68.9,58.4
May-20,62.6,67.9,57.5
Jun-20,64,69.1,59.2
Jul-20,64.7,69.6,59.9
Aug-20,65,69.9,60.3
Sep-20,64.8,69.7,60.1
Oct-20,65.8,70.8,60.9
Nov-20,66.1,71,61.4
Dec-20,66.2,71.1,61.4
,,,
"Source: Australian Bureau of Statistics,  Labour Force, Australia December 2020",,,
